Intent,Question,Answer
question_data_set,How Do You Play Spades,The object is to take at least the number of tricks that were bid before play of the hand began.
question_data_set,what continent is australia,"Australia is a continent comprising mainland Australia , Tasmania , New Guinea , Seram , possibly Timor , and neighbouring islands."
question_data_set,what causes heart disease,The causes of cardiovascular disease are diverse but atherosclerosis and/or hypertension are the most common.
question_data_set,what countries did immigrants come from during the immigration,"The history of immigration to the United States is a continuing story of peoples from more populated continents, particularly Europe and also Africa and Asia, crossing oceans to the new land."
question_data_set,what countries did immigrants come from during the immigration,Starting around 1600 British and other Europeans settled primarily on the east coast .
question_data_set,how many people live in atlanta georgia,"Atlanta (, stressed , locally ) is the capital of and the most populous city in the U.S. state of Georgia , with an estimated 2011 population of 432,427."
question_data_set,how many people live in atlanta georgia,"Atlanta is the cultural and economic center of the Atlanta metropolitan area , home to 5,457,831 people and the ninth largest metropolitan area in the United States."
question_data_set,what does it mean to be a commonwealth state,Commonwealth is a traditional English term for a political community founded for the common good.
question_data_set,how long can you be in the supreme court,"Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment ."
question_data_set,what county in texas is conroe located in,Conroe is the seat of Montgomery County and falls within the metropolitan area.
question_data_set,what can sql 2005 do,"As a database, it is a software product whose primary function is to store and retrieve data as requested by other software applications, be it those on the same computer or those running on another computer across a network (including the Internet)."
question_data_set,how many people were killed in the oklahoma city bombing,"The Oklahoma blast claimed 168 lives, including 19 children under the age of 6, and injured more than 680 people."
question_data_set,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,"Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold – in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position."
question_data_set,how does a dredge work?,"Dredging is an excavation activity or operation usually carried out at least partly underwater, in shallow seas or fresh water areas with the purpose of gathering up bottom sediments and disposing of them at a different location."
question_data_set,how does a dredge work?,"A dredger (or “dredge” as is the general usage in the Americas) is any device, machine, or vessel that is used to excavate and remove material from the bottom of a body of water."
question_data_set,how does a dredge work?,"For example, a scoop attached to the end of a rope or pole by which a man can draw sediments up from the bottom of a pond is a dredger."
question_data_set,how does a dredge work?,"Developing this idea further, a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water is also a dredger."
question_data_set,how does a dredge work?,"If the crane is mounted on a barge, the entire vessel is referred to as a dredger."
question_data_set,what did benedict arnold die,"He returned to London to settle permanently in 1791, where he died ten years later."
question_data_set,how many world series did curt schilling have,He helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox .
question_data_set,how many ports are there in networking,"Of the thousands of enumerated ports, about 250 well-known ports are reserved by convention to identify specific service types on a host."
question_data_set,what area code is 479,"Area code 479 is the telephone area code serving thirteen counties in northwest Arkansas , including the cities of Fort Smith , Fayetteville , Springdale , Rogers and Bentonville : the second, third, fourth, eighth and tenth-largest cities in the state, respectively."
question_data_set,what area code is 479,"Area code 479 serves Benton , Carroll (split with area code 870 ), Crawford , Franklin , Johnson , Logan , Madison , Polk , Pope , Scott , Sebastian , Washington and Yell Counties in Arkansas."
question_data_set,what does arraignment mean,Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her.
question_data_set,what did chaucer do,"While he achieved fame during his lifetime as an author, philosopher, alchemist and astronomer , composing a scientific treatise on the astrolabe for his ten year-old son Lewis, Chaucer also maintained an active career in the civil service as a bureaucrat, courtier and diplomat."
question_data_set,what did chaucer do,"Chaucer is a crucial figure in developing the legitimacy of the vernacular , Middle English , at a time when the dominant literary languages in England were French and Latin."
question_data_set,what does am and pm stand for,"The 12-hour clock is a time convention in which the 24 hours of the day are divided into two periods: a.m. (from the Latin ante meridiem, meaning ""before midday"") and p.m. (post meridiem, ""after midday"")."
question_data_set,how is canada's health care,"A 2007 review of all studies comparing health outcomes in Canada and the US in a Canadian peer-reviewed medical journal found that ""health outcomes may be superior in patients cared for in Canada versus the United States, but differences are not consistent."""
question_data_set,how many xbox 360 games are there,"There are currently 952 games (multiplatform: 751; exclusive: 123; console exclusive: 78) on this list as of April 2, 2013."
question_data_set,how do pineapples grow,"Pineapples may be cultivated from a crown cutting of the fruit, possibly flowering in 20–24 months and fruiting in the following six months."
question_data_set,what country did wine originate in,"Archaeological evidence suggests that the earliest known wine production occurred in what is now the country of Georgia around 7000 BCE, with other notable sites in Greater Iran dated 4500 BCE and Armenia 4100 BCE, respectively."
question_data_set,how many district are in west bengal,"In 1947, when India gained independence, the state of West Bengal was formed with 14 districts, as per partition plan of the then Bengal province of British India ."
question_data_set,how many towns in new hampshire,This is a list of the 221 towns and 13 cities in the U.S. state of New Hampshire .
question_data_set,what does salesforce.com do?,"Though best known for its customer relationship management (CRM) product, Salesforce has also expanded into the ""social enterprise arena"" through acquisitions."
question_data_set,what does 1 year mean to the planet,"During one orbit around the Sun, the Earth rotates about its own axis 366.26 times, creating 365.26 solar days , or one sidereal year ."
question_data_set,what is feedback mechanism in plants during respiration,"Cellular respiration is the set of the metabolic reactions and processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP), and then release waste products."
question_data_set,how fire extinguisher works,"Cartridge-operated extinguishers contain the expellant gas in a separate cartridge that is punctured prior to discharge, exposing the propellant to the extinguishing agent."
question_data_set,what does righteousness mean,"Righteousness (also called rectitude) is an important theological concept in Christianity , Judaism , Islam , Hinduism (dharma), and Zoroastrianism ."
question_data_set,what does righteousness mean,"It is an attribute that implies that a person's actions are justified, and can have the connotation that the person has been ""judged"" or ""reckoned"" as leading a life that is pleasing to the god/s portrayed in these belief systems."
question_data_set,what countries are in central america?,"Central America consists of seven countries: Belize , Costa Rica , El Salvador , Guatemala , Honduras , Nicaragua , and Panama ."
question_data_set,how does a steam engine work,A steam engine is a heat engine that performs mechanical work using steam as its working fluid .
question_data_set,how does a steam engine work,"Steam engines are external combustion engines , where the working fluid is separate from the combustion products."
question_data_set,what county is tacoma washington in,"Tacoma (, ) is a mid-sized urban port city and the county seat of Pierce County, Washington , United States."
question_data_set,what county is chula vista ca in,"As the second largest city in San Diego County , Chula Vista has quickly become a destination popular to many tourists."
question_data_set,what did isaac newton do,Sir Isaac Newton (25 December 164220 March 1727) was an English physicist and mathematician who is widely regarded as one of the most influential scientists of all time and as a key figure in the scientific revolution .
question_data_set,what does the universal law of gravitation state,Newton's law of universal gravitation states that every point mass in the universe attracts every other point mass with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between them.
question_data_set,how does a dim sum restaurant work,Dim sum () refers to a style of Cantonese food prepared as small bite-sized or individual portions of food traditionally served in small steamer baskets or on small plates.
question_data_set,how does a dim sum restaurant work,"Dim sum is also well known for the unique way it is served in some restaurants, wherein fully cooked and ready-to-serve dim sum dishes are carted around the restaurant for customers to choose their orders while seated at their tables."
question_data_set,how does a dim sum restaurant work,"Eating dim sum at a restaurant is usually known in Cantonese as going to ""drink tea"" ( yum cha , 飲茶), as tea is typically served with dim sum."
question_data_set,how many US soldiers killed in Iraq war,"A total of 4,486 U.S. soldiers were killed in Iraq between 2003 and 2012."
question_data_set,how many planets is jupiter away from the sun?,Jupiter is the fifth planet from the Sun and the largest planet in the Solar System .
question_data_set,what city was the convention when gerald ford was nominated,"Held in Kemper Arena in Kansas City , Missouri , the convention nominated President Gerald Ford for a full term, but only after narrowly defeating a strong challenge from former California Governor Ronald Reagan ."
question_data_set,how many professional hockey teams in canada,"It started with four teams and, through a series of expansions, contractions, and relocations, the league is now composed of 30 active franchises."
question_data_set,what county is northville mi,Northville is an affluent city located in and divided by Oakland and Wayne counties in the U.S. state of Michigan .
question_data_set,what county is northville mi,"Most of the city is in Oakland County, and is surrounded by the city of Novi ."
question_data_set,how many games did brett favre start in a row,"He has led teams to eight division championships ( 1995 , 1996 , 1997 , 2002 , 2003 , 2004 , 2007 , 2009 ), five NFC Championship Games ( 1995 , 1996 , 1997 , 2007 , 2009 ), and two Super Bowl appearances ( Super Bowl XXXI , Super Bowl XXXII ), winning one (Super Bowl XXXI)."
question_data_set,what does a vote to table a motion mean?,"In the United States, to table usually means the to lay [the topic] on the table or to move for postponement of consideration; a proposal to suspend consideration of a pending motion."
question_data_set,What does the class mean for SDHC cards?,"The four families are the original Standard-Capacity (SDSC), the High-Capacity ( SDHC ), the eXtended-Capacity ( SDXC ), and the SDIO , which combines input/output functions with data storage."
question_data_set,what do porcupines eat,"It eats leaves, herbs, twigs and green plants like skunk cabbage and clover and in the winter it may eat bark."
question_data_set,what did elijah mccoy invent,"Elijah J. McCoy (May 2, 1844 – October 10, 1929) was a black Canadian-American inventor and engineer, who was notable for his 57 U.S. patents , most to do with lubrication of steam engines."
question_data_set,how many apple store are there in total?,", Apple has 405 stores worldwide, with global sales of billion in merchandise in 2011, and they lead the United States retail market in terms of sales per unit area ."
question_data_set,What does the idea of effective nuclear charge tell us,"The term ""effective"" is used because the shielding effect of negatively charged electrons prevents higher orbital electrons from experiencing the full nuclear charge by the repelling effect of inner-layer electrons."
question_data_set,how is jerky made,"Jerky is lean meat that has been trimmed of fat, cut into strips, and then dried to prevent spoilage."
question_data_set,how is jerky made,"Modern manufactured jerky is normally marinated in a seasoned spice rub or liquid, and dried, dehydrated or smoked with low heat (usually under 70 °C/160 °F)."
question_data_set,what domain is eu,.eu is the country code top-level domain (ccTLD) for the European Union (EU).
question_data_set,"What does the name ""Meister"" mean in German","Meister means master in German (as in master craftsman , or as an honorific title such as Meister Eckhart )."
question_data_set,what happened on the moon during the period of Late Heavy Bombardment?,"During this event a very large number of the impact craters on the Moon would have formed, and by inference on Earth , Mercury , Venus and Mars as well."
question_data_set,How did Edgar Allan Poe die?,"On October 7, 1849, at age 40, Poe died in Baltimore; the cause of his death is unknown and has been variously attributed to alcohol, brain congestion, cholera , drugs, heart disease, rabies , suicide, tuberculosis, and other agents."
question_data_set,what did tycho brahe do,"Tycho Brahe (14 December 154624 October 1601), born Tyge Ottesen Brahe, was a Danish nobleman known for his accurate and comprehensive astronomical and planetary observations."
question_data_set,what did tycho brahe do,Tycho was well known in his lifetime as an astronomer and alchemist .
question_data_set,how many seasons heroes,"Four complete seasons aired, ending on February 8, 2010."
question_data_set,what holiday is first weekend of september,"Labor Day is an American federal holiday observed on the first Monday in September, that celebrates the economic and social contributions of workers."
question_data_set,how old r Dylan and Cole Sprouse,"Dylan Thomas Sprouse and Cole Mitchell Sprouse (born August 4, 1992) are American actors."
question_data_set,what does life insurance cover?,"Life insurance is a contract between an insured (insurance policy holder) and an insurer , where the insurer promises to pay a designated beneficiary a sum of money (the ""benefits"") upon the death of the insured person."
question_data_set,what does life insurance cover?,"Depending on the contract, other events such as terminal illness or critical illness may also trigger payment."
question_data_set,what does life insurance cover?,"Protection policies – designed to provide a benefit in the event of specified event, typically a lump sum payment."
question_data_set,how many days does the chinese new year last,9 – 12 February (Vietnam)
question_data_set,what does s.h.i.e.l.d stand for,"The acronym originally stood for Supreme Headquarters, International Espionage, Law-Enforcement Division."
question_data_set,how many consoles has xbox 360 sold,"As of September 30, 2012, 70 million Xbox 360 consoles have been sold worldwide."
question_data_set,how is a backpack made,"The bag itself was made up of different animal hide and skin (depending on what sorts of animals were in the area) and sewn together by the intestines of said animals, which were woven together tightly to make a sturdy thread-like material."
question_data_set,WHAT COUNTRY IS MEXICO IN,"Mexico (; ; ), officially the United Mexican States (), is a federal constitutional republic in North America."
question_data_set,how is slugging percentage calculated,It is calculated as total bases divided by at bats :
question_data_set,what day is st. patricks day,"Saint Patrick's Day or the Feast of Saint Patrick (, ""the Day of the Festival of Patrick"") is a cultural and religious holiday celebrated on 17 March."
question_data_set,what cheese is made from goat's milk,"Goat cheese, or chèvre (from the French word for goat), is cheese made out of the milk of goats ."
question_data_set,what does the federal reserve do,"Its duties have expanded over the years, and today, according to official Federal Reserve documentation, include conducting the nation's monetary policy , supervising and regulating banking institutions, maintaining the stability of the financial system and providing financial services to depository institutions , the U.S. government, and foreign official institutions."
question_data_set,what country is belize in,"Belize , is a country located on the northeastern coast of Central America."
question_data_set,how many books are included in the protestant Bible?,Christian Bibles range from the sixty-six books of the Protestant canon to the eighty-one books of the Ethiopian Orthodox Tewahedo Church canon.
question_data_set,how many stars on the first american flag,The flag was designed during the American Revolution and features 13 stars to represent the original 13 colonies .
question_data_set,how does a cat purr,"However, using a strict definition of purring that continuous sound production must alternate between pulmonic egressive and ingressive airstream (and usually go on for minutes), Peters (2002), in an exhaustive review of the scientific literature, reached the conclusion that until then only ‘purring cats’ (Felidae) and two species of genets , Genetta tigrina, and most likely also Genetta genetta, had been documented to purr."
question_data_set,what became of rich on price is right,"Fields is currently a meteorologist for the CBS owned and operated television stations KCBS-TV and KCAL-TV in Los Angeles, California."
question_data_set,what became of rich on price is right,"Fields can also be heard on the radio on K-EARTH 101 KRTH , KNX-AM and KFWB in Los Angeles."
question_data_set,what county is St. Elizabeth MO in,"St. Elizabeth is a village in Miller County , Missouri , United States ."
question_data_set,what county is wilton ca in,"Wilton is a census-designated place (CDP) in Sacramento County , California , United States ."
question_data_set,what happened to stevie ray vaughan,"On August 27, 1990, Vaughan was killed in a helicopter crash following a performance in East Troy, Wisconsin ."
question_data_set,how many gold gloves does barry larkin have,"Larkin is considered one of the top players of his era, winning nine Silver Slugger awards and three Gold Glove awards ."
question_data_set,what caused ww,"The causes of World War I , which began in central Europe in late July 1914 and finished in 1918, included many factors, such as the conflicts and hostility of the four decades leading up to the war."
question_data_set,how did women's role change during the war,"Whether it was on the home front or the front-lines, for civilian or enlisted women, the World Wars started a new era for women's opportunities to contribute in war and be recognized for efforts outside of the home."
question_data_set,how many seasons were there of the wire,"The Wire premiered on June 2, 2002, and ended on March 9, 2008, comprising 60 episodes over five seasons."
question_data_set,what kind of legal remedy is it to ask someone to fulfill there promise,"The word promise can be used as a legal synonym for contract, although care is required as a promise may not have the full standing of a contract, as when it is an agreement without consideration ."
question_data_set,how is ASP.NET different from .NET,ASP.NET is a server-side Web application framework designed for Web development to produce dynamic Web pages .
question_data_set,how does lsd impact the human body,"Lysergic acid diethylamide, abbreviated LSD or LSD-25, also known as lysergide ( INN ) and colloquially as acid, is a semisynthetic psychedelic drug of the ergoline family, well known for its psychological effects which can include altered thinking processes, closed and open eye visuals, synesthesia , an altered sense of time and spiritual experiences , as well as for its key role in 1960s counterculture ."
question_data_set,how does lsd impact the human body,"LSD is non-addictive, is not known to cause brain damage, and has extremely low toxicity relative to dose ."
question_data_set,how does lsd impact the human body,"However, adverse psychiatric reactions such as anxiety, paranoia, and delusions are possible."
question_data_set,how many people live in memphis tennessee,"Memphis had a population of 672,277 in 2011 making it the largest city in the state of Tennessee , the largest city on the Mississippi River , the third largest in the Southeastern United States , and the 20th largest in the United States."
question_data_set,how many muscles in the human body,"There are approximately 642 skeletal muscles within the typical human, and almost every muscle constitutes one part of a pair of identical bilateral muscles, found on both sides, resulting in approximately 320 pairs of muscles, as presented in this article."
question_data_set,how did seminole war end,"Ultimately, the Spanish Crown ceded the colony to United States rule."
question_data_set,what county is orono maine in,"Orono is a town in Penobscot County , Maine , United States ."
question_data_set,what it is a pilot study,"A pilot experiment, also called a pilot study, is a small scale preliminary study conducted in order to evaluate feasibility, time, cost, adverse events, and effect size (statistical variability) in an attempt to predict an appropriate sample size and improve upon the study design prior to performance of a full-scale research project."
question_data_set,how many humps on a camel,"The two surviving species of camel are the dromedary , or one-humped camel, which is native to the Middle East and the Horn of Africa ; and the Bactrian , or two-humped camel, which inhabits Central Asia ."
question_data_set,what can be powered by wind,"Wind power is the conversion of wind energy into a useful form of energy, such as using wind turbines to make electrical power , windmills for mechanical power, wind pumps for water pumping or drainage , or sails to propel ships."
question_data_set,how many nature oceans are on earth,"In the context of Earth , it refers to one or all of the major divisions of the planet's World Ocean – they are, in descending order of area, the Pacific , Atlantic , Indian , Southern (Antarctic) , and Arctic Oceans."
question_data_set,what county is jacksonville florida in,"It is the county seat of Duval County , with which the city government consolidated in 1968."
question_data_set,what chili wants wiki,"What Chilli Wants is an American reality series on VH1 starring Chilli , one-third of the Grammy Award -winning R&B trio TLC ."
question_data_set,what does a liquid oxygen plant look like,The blue color of liquid oxygen in a dewar flask
question_data_set,what division is boise state football,The Boise State Broncos football program represents Boise State University in college football and compete in the Football Bowl Subdivision (FBS) of Division I as a member of the Mountain West Conference .
question_data_set,"What does the term ""mens rea"" mean","Mens rea is Latin for ""guilty mind""."
question_data_set,what do UA's detect,"A drug test is a technical analysis of a biological specimen – for example urine, hair, blood, sweat, or oral fluid / saliva – to determine the presence or absence of specified parent drugs or their metabolites ."
question_data_set,how much caffeine is in a shot of espresso,"Espresso has more caffeine per unit volume than most beverages, but the usual serving size is smaller—a typical 60 mL (2 US fluid ounce ) of espresso has 80 to 150 mg of caffeine, little less than the 95 to 200 mg of a standard 240 mL (8 US fluid ounces ) cup of drip-brewed coffee."
question_data_set,What does Human sperm consist of?,"In humans, seminal fluid contains several components besides spermatozoa: proteolytic and other enzymes as well as fructose are elements of seminal fluid which promote the survival of spermatozoa and provide a medium through which they can move or ""swim""."
question_data_set,how did the penguins acquire sidney crosby,Crosby was drafted first overall by the Penguins out of the Quebec Major Junior Hockey League (QMJHL).
